,Overview about The Data,,,,,,,,,,,,,,,,,Product Analysis,,,,,,,,,,,,,,,,,,,,Sales Analysis,,,,,,,,,,,,,,,,,,,,,,,,Time Analysis,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bhavani,562973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ram,562166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Anushka,561025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aarush,559974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Piyush,554788,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shailaja,545280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Swathi,532477,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Manufacturer Name,Sum of profit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sai,525113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Maruti,56293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shilpa,512483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Toyota,52478,,,,,,,,,,,,,,,,Car Type,Sum of profit,,,,,,,,,,,,,,,,,,Shruthi,507380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Mahindra,36299,,,,,,,,,,,,,,,,SUV,90052,,,,,,,,,,,,,,,,,,Sweta,497063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Prazo,33743,,,,,,,,,,,,,,,,Hatchback,74694,,,,,,,,,,,,,,,,,,Swapna,476014,,,,,,,,,,,,,,,,,,,,,,,,Manufactured Year,Sum of profit,,,,,,
,Tata,33279,,,,,,,,,,,,,,,,Truck,54314,,,,,,,,,,,,,,,,,,Pranav,471220,,,,,,,,,,,,,,,,,,,,,,,,2015,1383,,,,,,
,Renault,22310,,,,,,,,,,,,,,,,Convertible,33743,,,,,,,,,,,,,,,,,,Aditya,454619,,,,,,,,,,,,,,,,,,,,,,,,2024,16546,,,,,,
,Hyundai,21458,,,,,,,,,,,,,,,,Sedan,24414,,,,,,,,,,,,,,,,,,Vihaan,406326,,,,,,,,,,,,,,,,,,,,,,,,2017,21642,,,,,,
,Kia,21357,,,,,,,,,,,,,,,,Grand Total,277217,,,,,,,,,,,,,,,,,,Arjuna,386805,,,,,,,,,,,,,,,,,,,,,,,,2016,22060,,,,,,
,Grand Total,277217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Grand Total,14877761,,,,,,,,,,,,,,,,,,,,,,,,2020,24183,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023,26446,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021,31437,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018,34724,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022,49363,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019,49433,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Grand Total,277217,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sales Agent Name,Sum of Sales Commission-$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pavan,9387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vishwajeet,8429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rithvik,8424,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Supriya,7805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Preeti,7739,,,,,,,,,,,,,,,,,,,,,,,,Customer Analysis,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shailaja,7728,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ram,7614,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,Energy,Sum of profit,,,,,,,,,,,,,,,,,,Karan,7598,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,Diesel,96980,,,,,,,,,,,,,,,,,,Shilpa,7270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,Petrol,75357,,,,,,,,,,,,,,,,,,Bhavani,7084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,Electric,73158,,,,,,,,,,,,,,,,,,Aarush,6879,,,,,,,,,,,,,,,,,,,,,,,,Location,Sum of Sold Price-$,,,,,,
,,,,,,,,,,,,,,,,,,Hybrid,31722,,,,,,,,,,,,,,,,,,Krishna,6859,,,,,,,,,,,,,,,,,,,,,,,,North Carolina,1620888,,,,,,
,,,,,,,,,,,,,,,,,,Grand Total,277217,,,,,,,,,,,,,,,,,,Shiva,6709,,,,,,,,,,,,,,,,,,,,,,,,Tennessee,1047480,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sai,6543,,,,,,,,,,,,,,,,,,,,,,,,Tucson,966450,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hariom,6390,,,,,,,,,,,,,,,,,,,,,,,,San Jose,898586,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Piyush,6384,,,,,,,,,,,,,,,,,,,,,,,,Texas,886580,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Swapna,6282,,,,,,,,,,,,,,,,,,,,,,,,Columbus,877438,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dhruv,6282,,,,,,,,,,,,,,,,,,,,,,,,Philadelphia,838016,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Anushka,6264,,,,,,,,,,,,,,,,,,,,,,,,Denver,829856,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Swathi,5645,,,,,,,,,,,,,,,,,,,,,,,,Chicago,827400,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shruthi,5611,,,,,,,,,,,,,,,,,,,,,,,,New York,811923,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Narayan,5576,,,,,,,,,,,,,,,,,,,,,,,,California,800944,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pranav,5505,,,,,,,,,,,,,,,,,,,,,,,,Utah,797777,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sweta,5180,,,,,,,,,,,,,,,,,,,,,,,,Florida,773390,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aditya,4755,,,,,,,,,,,,,,,,,,,,,,,,Detroit,773032,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Arjuna,4492,,,,,,,,,,,,,,,,,,,,,,,,Oklahoma,771115,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vihaan,3657,,,,,,,,,,,,,,,,,,,,,,,,Madison,746118,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Grand Total,178091,,,,,,,,,,,,,,,,,,,,,,,,Portland,610768,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Grand Total,14877761,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Distributor Name,Sum of Sold Price-$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Olx,828061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,Color,Sum of profit,,,,,,,,,,,,,,,,,,Marchi,813756,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,Blue,29.91%,,,,,,,,,,,,,,,,,,Cars24,788360,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,Red,25.97%,,,,,,,,,,,,,,,,,,Skipper,787580,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,Black,24.57%,,,,,,,,,,,,,,,,,,Automart,736745,,,,,,,,,,,,,,,,,,,,,,,,Location,Sum of profit,,,,,,
,,,,,,,,,,,,,,,,,,White,10.23%,,,,,,,,,,,,,,,,,,Motor,736164,,,,,,,,,,,,,,,,,,,,,,,,San Jose,34063,,,,,,
,,,,,,,,,,,,,,,,,,Gray,9.33%,,,,,,,,,,,,,,,,,,Carmudi,729752,,,,,,,,,,,,,,,,,,,,,,,,North Carolina,29920,,,,,,
,,,,,,,,,,,,,,,,,,Grand Total,100.00%,,,,,,,,,,,,,,,,,,Kamkar,726582,,,,,,,,,,,,,,,,,,,,,,,,Columbus,26015,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sobri,713921,,,,,,,,,,,,,,,,,,,,,,,,Detroit,21133,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oto,711913,,,,,,,,,,,,,,,,,,,,,,,,Madison,17262,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Trivett,703308,,,,,,,,,,,,,,,,,,,,,,,,Oklahoma,17015,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Carsome,699451,,,,,,,,,,,,,,,,,,,,,,,,Florida,16586,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Knox,672060,,,,,,,,,,,,,,,,,,,,,,,,Philadelphia,16288,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Trust,670971,,,,,,,,,,,,,,,,,,,,,,,,Tennessee,16187,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zupps,668421,,,,,,,,,,,,,,,,,,,,,,,,Portland,15736,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Carro,668400,,,,,,,,,,,,,,,,,,,,,,,,Chicago,14449,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Carousell,664255,,,,,,,,,,,,,,,,,,,,,,,,Utah,14389,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Carmix,660526,,,,,,,,,,,,,,,,,,,,,,,,Tucson,13850,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nufor,654542,,,,,,,,,,,,,,,,,,,,,,,,California,12964,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,APE,632104,,,,,,,,,,,,,,,,,,,,,,,,Denver,8585,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ahg,610889,,,,,,,,,,,,,,,,,,,,,,,,Texas,6044,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Grand Total,14877761,,,,,,,,,,,,,,,,,,,,,,,,New York,-3269,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Grand Total,277217,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,Gearbox,Sum of Sold Price-$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,Automatic,50.78%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Location,Sum of Margin-%,,,,,,
,,,,,,,,,,,,,,,,,,Manual,49.22%,,,,,,,,,,,,,,,,,,Distributor Name,Sum of profit,,,,,,,,,,,,,,,,,,,,,,,,San Jose,529,,,,,,
,,,,,,,,,,,,,,,,,,Grand Total,100.00%,,,,,,,,,,,,,,,,,,Olx,38914,,,,,,,,,,,,,,,,,,,,,,,,North Carolina,418,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nufor,27477,,,,,,,,,,,,,,,,,,,,,,,,Columbus,395,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Carro,25490,,,,,,,,,,,,,,,,,,,,,,,,Detroit,303,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ahg,24779,,,,,,,,,,,,,,,,,,,,,,,,Oklahoma,287,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Motor,23426,,,,,,,,,,,,,,,,,,,,,,,,Madison,277,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cars24,17687,,,,,,,,,,,,,,,,,,,,,,,,Tennessee,270,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Carmudi,14927,,,,,,,,,,,,,,,,,,,,,,,,Chicago,249,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Trivett,14671,,,,,,,,,,,,,,,,,,,,,,,,Portland,244,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sobri,11127,,,,,,,,,,,,,,,,,,,,,,,,Utah,241,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Carousell,10592,,,,,,,,,,,,,,,,,,,,,,,,Philadelphia,228,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,APE,10303,,,,,,,,,,,,,,,,,,,,,,,,Florida,227,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zupps,10283,,,,,,,,,,,,,,,,,,,,,,,,California,221,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oto,9593,,,,,,,,,,,,,,,,,,,,,,,,Tucson,218,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Marchi,8862,,,,,,,,,,,,,,,,,,,,,,,,Denver,129,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Carsome,8761,,,,,,,,,,,,,,,,,,,,,,,,Texas,67,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Carmix,7118,,,,,,,,,,,,,,,,,,,,,,,,New York,-21,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Knox,6396,,,,,,,,,,,,,,,,,,,,,,,,Grand Total,4282,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Automart,5270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Skipper,5093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kamkar,2045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Trust,-5597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Grand Total,277217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,Car Name,Sum of Sold Price-$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,Plato,1401254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,Fortuner,1352828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,Kags,1347132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,Yodha,1340796,,,,,,,,,,,,,,,,,,Distributor Name,Sum of Margin-%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,Thar,1189190,,,,,,,,,,,,,,,,,,Olx,620,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,Hilux,1166526,,,,,,,,,,,,,,,,,,Nufor,418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,Creta,1089428,,,,,,,,,,,,,,,,,,Carro,385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,i20,1067693,,,,,,,,,,,,,,,,,,Motor,370,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,Scorpio,1054689,,,,,,,,,,,,,,,,,,Ahg,367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,Etriga,1024703,,,,,,,,,,,,,,,,,,Cars24,303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,Dzire,992017,,,,,,,,,,,,,,,,,,Carmudi,227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,Swift,941758,,,,,,,,,,,,,,,,,,Trivett,176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,Seltos,909747,,,,,,,,,,,,,,,,,,Carsome,174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,Grand Total,14877761,,,,,,,,,,,,,,,,,,Marchi,172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oto,161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sobri,157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zupps,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,APE,132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Carousell,125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Carmix,119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Knox,105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Automart,102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Skipper,71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kamkar,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,Car Name,Sum of profit,,,,,,,,,,,,,,,,,,Trust,-114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,Plato,33743,,,,,,,,,,,,,,,,,,Grand Total,4282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,Yodha,33279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,Etriga,31879,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,Fortuner,31443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,i20,23284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,Kags,22310,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,Seltos,21357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,Hilux,21035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,Dzire,19520,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,Scorpio,18491,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,Thar,17808,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
